TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
28,,,,"2. Attempt to create submission with effective date before August release","2. System should validate effective date",,,,,,
28,,,,"3. Verify form ZC 6356 is not available for pre-August effective dates","3. Form should not be selectable for submissions with earlier effective dates",,,,,,
28,,,,"4. Create submission with effective date on or after August release","4. Submission should be created successfully",,,,,,
28,,,,"5. Navigate to Inland Marine screen","5. Inland Marine configuration should display",,,,,,
28,,,,"6. Verify form ZC 6356 is available for August or later effective dates","6. Form should be available and selectable for valid effective dates",,,,,,
28,,,,"7. Verify form is selectable and auto-attaches with 03/25 edition","7. Form should attach successfully with latest edition",,,,,,
29,Manual,TC29_Verify Form ZC 6356 Document Management Integration_Inland Marine_New Business_R2,The objective of this test case is to validate that form ZC 6356 is correctly integrated with document management system,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
29,,,,"2. Create a Domestic submission with Inland Marine LOB","2. User should be able to create a submission successfully",,,,,,
29,,,,"3. Navigate to Inland Marine screen and select Contractors Equipment Coverage","3. Coverage should be selected",,,,,,
29,,,,"4. Select form ZC 6356","4. Form should be auto-attached to document management system",,,,,,
29,,,,"5. Verify form appears in document list with correct metadata","5. Document list should display form ZC 6356 with 03/25 edition",,,,,,
29,,,,"6. Verify form can be downloaded from documents section","6. User should be able to download form ZC 6356 from documents",,,,,,
29,,,,"7. Verify downloaded form is latest 03/25 edition","7. Downloaded file should be latest edition ZC 6356",,,,,,
29,,,,"8. Verify form metadata is accessible in document properties","8. Document properties should display form code, edition, and effective date",,,,,,
30,Manual,TC30_Verify Form ZC 6356 End-to-End Workflow_Inland Marine_New Business_R1-R3,The objective of this test case is to validate complete end-to-end workflow including form display, attachment, payload generation and binding,"1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen",Inland Marine/CAMS-1863 Complete Workflow,Done,Middle Market,CAMS-1863,High,Positive
30,,,,"2. Create a Domestic submission with Inland Marine LOB effective August or later","2. Submission should be created successfully",,,,,,
30,,,,"3. Verify form ZC 6356 is displayed in coverage options with 03/25 edition","3. Form should display with correct metadata and edition date",,,,,,
30,,,,"4. Select Contractors Equipment Coverage and form ZC 6356","4. Form should be auto-attached to documents",,,,,,
30,,,,"5. Fill all mandatory Inland Marine fields","5. All required fields should be populated",,,,,,
30,,,,"6. Price the submission","6. Pricing should complete successfully with form in payload",,,,,,
30,,,,"7. Generate quote document","7. Quote should be generated with form ZC 6356 and 03/25 edition",,,,,,
30,,,,"8. Proceed to binding","8. Binding process should be initiated",,,,,,
30,,,,"9. Verify form remains in documents through entire workflow","9. Form should persist in documents throughout entire workflow",,,,,,
30,,,,"10. Verify final payload sent to backend includes form 03/25 edition","10. Backend should receive form ZC 6356 with 03/25 edition in final payload",,,,,,
30,,,,"11. Confirm policy binding completion","11. Policy should be successfully bound with form attached",,,,,,
